,ref,ans,bleu-1,bleu-2,bleu-3,bleu-4
79,really,nothing monica and i had a stupid fight,0.0,0.0,0.0,0.0
80,i mean that ain't a pretty picture in the morning y'know what i mean,but you're still moving in together right because my ad came out today,0.07122778,0.0,0.0,0.0
81,okay sorry,wanted female roommate nonsmoker nonugly nice,0.0,0.0,0.0,0.0
82,that was joey,yeah,0.0,0.0,0.0,0.0
83,no no it's wrong it'sit'sit's naughty it's taboo,i just figured y'know after living with you it'd be an interesting change of pace to have a female roommate y'know,0.0,0.0,0.0,0.0
84,you're our third call tonight,someone i can learn from someonesomeone who's different than me,0.0,0.0,0.0,0.0
85,yeah it's for our catering business,and what's more different than me a guy who's,0.0,0.0,0.0,0.0
86,okay well y'know what don't worry you guys cause i'mi'm gonna do this as many times as it takes to get it right,this witness won't return my calls so we're gonna see if we can surprise him coming home,0.082661,0.0,0.0,0.0
87,i mean last year i spread a little joy but not really enough,sursurprise him we're not we're not gonna make anybody mad are we,0.07667037,0.0,0.0,0.0
88,thanks well but this one starts now,come on man listen so uh are you gonna squeeze the perps shoes a little bit before he lawyers up,0.0,0.0,0.0,0.0
89,i mean you and i we're just y'know we're nothing we're goofin' around,it's a witness not a perp and no one talks like that,0.07667037,0.0,0.0,0.0
90,y'know what he didn't want to talk to us about being angry well maybe we don't talk to him,hey i'm more cop than you two,0.0,0.0,0.0,0.0
91,oh i know,how do you figure that,0.0,0.0,0.0,0.0
92,i don't know,hello i'm in the front seat okay i'm gary's partner,0.0,0.0,0.0,0.0
93,yeah you like that one,here you go thank you,0.2,0.0,0.0,0.0
94,oh,rachel karen green where's the other earring,0.0,0.0,0.0,0.0
95,yeah,okay okay okay look just don't freak out but i kinda lost it,0.0,0.0,0.0,0.0
96,i don't know i didn't come with her,i know it's in the apartment but i,0.375,0.0,0.0,0.0
97,i'm going into business people,well what am i going to tell monica she wants to wear them tonight,0.07142857,0.0,0.0,0.0
98,i'm going crazy okay do you have any thing around here that looks homemade,tell her to wear her own earrings,0.0,0.0,0.0,0.0
99,yeah,these,0.0,0.0,0.0,0.0
100,all right,nooo nooooo you lent me monica's earrings i'm not allowed to borrow her stuff,0.0,0.0,0.0,0.0
101,you're right i'm sorry,why not,0.0,0.0,0.0,0.0
102,oh i wanna see lemme see lemme see,because i lose her stuff,0.10976233,0.0,0.0,0.0
103,i don't know ooh ooh look it ahha,yeah,0.0,0.0,0.0,0.0
104,uhoh,what's going on,0.0,0.0,0.0,0.0
105,i mean you're my favorite guy in the whole world,chandler's gone again,0.0,0.0,0.0,0.0
106,i'm right right,oh my god why would you play hide and seek with someone you know is a flight risk,0.0,0.0,0.0,0.0
107,oh are you sure you don't want to come tom hanks meg ryan they get mail and stuff,i already had a baby leave me alone,0.0,0.0,0.0,0.0
108,okay they even have actors coming in to read for my part,okay okay come on you can do it you can do it,0.08333333,0.0,0.0,0.0
109,did i turn the fish,yeah,0.0,0.0,0.0,0.0
110,okay every time,little leslie is here,0.0,0.0,0.0,0.0
111,uhhuh,we got another one,0.0,0.0,0.0,0.0
112,okay you're coming with me and i also told them that if we're still here when they get off that we'll go down to the cafeteria and have some,oh my god i can't believe i have twotwo children,0.02991372,0.0,0.0,0.0
113,fine maybe i will too,how scary is that,0.0,0.0,0.0,0.0
114,oh a subscription to,come on little chandler it's time to be born come on little chandler come on,0.06666667,0.0,0.0,0.0
115,dude if you go back out there you're gonna be dead ross,all right he's coming he's coming,0.0,0.0,0.0,0.0
116,i mean that ain't a pretty picture in the morning y'know what i mean,hey where's his thing,0.0,0.0,0.0,0.0
117,well then let me do it,chandler's a girl,0.0,0.0,0.0,0.0
118,yeah the lovely amanda gives me her number and ii go and drop it,oh god kindergarten flashback,0.0,0.0,0.0,0.0
119,oh okay y'know what this is,they musta read the sonogram wrong,0.0,0.0,0.0,0.0
120,i'm going into business people,cause they 'cause they thought it was a boy but chandler's a girl,0.0,0.0,0.0,0.0
121,oh can i throw up in my diaper genie,chandler's a girl,0.0,0.0,0.0,0.0
122,�so what are you saying it's now or never,okay keep saying it,0.0716262,0.0,0.0,0.0
123,right no biggie stay loose,am i too late,0.0,0.0,0.0,0.0
124,i'm sorry i do that,nono ah everything's okay everybody's healthy there's fingers and toes,0.0,0.0,0.0,0.0
125,cause i ran into him at the bank he is still soo cute,we have our babies,0.0,0.0,0.0,0.0
126,well then let me do it,yeah,0.0,0.0,0.0,0.0
127,i'm not too bad fortunately blue's my colour howhow did you know i was here,oh we have our babies,0.0,0.0,0.0,0.0
128,folks when we come back we'll be talking about her new book 'euphoria unbound' the always interesting nora tyler bing,hey bobby,0.0,0.0,0.0,0.0
129,oh i mean she's gonna be at the wedding waiting for him and people will be whispering oh that poor girl,it's bob actually hey you work up here can you tell me where this chandler,0.0,0.0,0.0,0.0
130,hey it's porsche,uhh yeah yeah it's right right down there right there yeah can i ask you why,0.0625,0.0,0.0,0.0
131,yeah 'cause otherwise someone might get what they actually ordered,i want to talk to that bastard see what his problem is,0.08333333,0.0,0.0,0.0
132,i mean you and i we're just y'know we're nothing we're goofin' around,okay bob listen uhh i'm the reason you didn't get the job up here,0.07142857,0.0,0.0,0.0
133,eh there you go,toby don't,0.0,0.0,0.0,0.0
134,oh that's better then,bob,0.0,0.0,0.0,0.0
135,i am going to take you out to dinner tonight,toby i'm not gonna let you cover for him anything you say right now will just get me more upset with chandler,0.04545455,0.0,0.0,0.0
136,thanks well but this one starts now,i know i found it on the street,0.0,0.0,0.0,0.0
137,okay great,are you seriousreally it's in such good condition,0.0,0.0,0.0,0.0
138,oh not much ii got a job,yeah,0.0,0.0,0.0,0.0
139,why not,wow whoawhoa what's under the covers,0.0,0.0,0.0,0.0
140,y'know that is a popular opinion today i must say,i don't know,0.03232399,0.0,0.0,0.0
141,i'm not getting into this again,it's stillit's got a tail get it out of here get it out of here,0.0,0.0,0.0,0.0
142,i'm sorry so umm so where are we,ooh ah okay,0.0,0.0,0.0,0.0
143,that is how god intended it,we talked through most of the night and we realized that the reason we were so angry at each other was because there are still feelings there so,0.03571429,0.0,0.0,0.0
144,ah yeah but he waited until the last minute,oh just say it kyle,0.0,0.0,0.0,0.0
145,oh,we're gonna give it another try,0.0,0.0,0.0,0.0
146,we're switching rooms again,what about her whining and her constant need for attention,0.0,0.0,0.0,0.0
147,they didn't take any of my suggestions,i'm gonna work on that,0.0,0.0,0.0,0.0
148,oh it's this big budget period movie about these three italian brothers who come to america around the turn of the century,oh right because you're so capable of change,0.04344349,0.0,0.0,0.0
149,well i was hoping after tonight that maybe i could you know,y'know he hums when he pees,0.0,0.0,0.0,0.0
150,y'know i was thinking if we had aa big fight and uh we broke up for a few hours,i do know,0.00160932,0.0,0.0,0.0
151,okay well ross what is this really about,it makes him miss the bowl but whatever,0.0,0.0,0.0,0.0
152,ah just one other thing,we're so sorry,0.0,0.0,0.0,0.0
153,oh that was the blind date that i told you about she called and switched it to today,that's all right wewe don't need you in fact hey i'm over it already,0.1073539,0.0,0.0,0.0
154,oh you so would oh you should get that anyway like for clubbing,yeah and y'know what i don't give a tiny rat's ass,0.0,0.0,0.0,0.0
155,okay you don't think i thought of that,yeah we're gonna go,0.0,0.0,0.0,0.0
156,i'd better go she goes and sits down in the,i'm sorry ugh pheebs you were you were right about her y'know she,0.07692308,0.0,0.0,0.0
157,well i'm upsetfor you i mean having sex with an endless line of beautiful women must be very unfulfilling for you,oh y'know he hums while he does other stuff to,0.0,0.0,0.0,0.0
158,i mean that's got to come in handy,yeah we're better off without them,0.0,0.0,0.0,0.0
159,i'm going crazy okay do you have any thing around here that looks homemade,and y'know even if they break up again you'd better not let him in your sad men's club,0.0,0.0,0.0,0.0
160,y'know when i'm with her i am so much more than that,divorced men's club,0.0,0.0,0.0,0.0
161,cause this is what will happen when you and i have babies,maybe because you've got the keys,0.0,0.0,0.0,0.0
162,look i'm talking right now you'reyou mean her,this is totally your fault,0.0,0.0,0.0,0.0
163,oh,my fault you threatened the judge,0.0,0.0,0.0,0.0
164,why not,well you ripped the paper out of the court reporter's machine,0.0,0.0,0.0,0.0
165,okay one thing at a time,yeah,0.0,0.0,0.0,0.0
166,you sure,have you seen chandler,0.25,0.0,0.0,0.0
167,	so,no why,0.0,0.0,0.0,0.0
168,i'm sending back all this stuff that chandler bought out of guilt,the woman from the museum called and said that there was a cancellation and that we could move up our wedding and chandler heard,0.08333333,0.0,0.0,0.0
169,yes i know but her friend sounds like such a,i know,0.01831564,0.01831564,0.0,0.0
170,i'd like to propose a toast,how bad is this,0.0,0.0,0.0,0.0
171,well i brought the next best thing,well for the regular guy it's bad but chandler oh dear god,0.16666667,0.0,0.0,0.0
172,y'know what you should do you should get her one of those um barium enemas,i know i know and he totally freaked out and i can't find him anywhere,0.0,0.0,0.0,0.0
173,okay well if i was in this for the money i'd be a millionaire by now y'know,what are you gonna do,0.0,0.0,0.0,0.0
174,yeah,well i'm never gonna listen to you again that's for sure,0.0,0.0,0.0,0.0
175,i mean you know we've never really talked,y'know harm can it do if you go and put your name down,0.07692308,0.0,0.0,0.0
176,i'm gonna go get him okay i am going back in,rachel said that,0.0,0.0,0.0,0.0
177,oh yeah did he pull the old,well rachel's not here,0.0,0.0,0.0,0.0
178,we fell asleep that is all,damnit damnit damnit damnit,0.0,0.0,0.0,0.0
179,it's just her water breaking calm down will you,this is all your fault,0.0,0.0,0.0,0.0
180,i mean you're my favorite guy in the whole world,this is supposed to be like the greatest day of my life y'know,0.15384615,0.0,0.0,0.0
181,i'm gonna go get him,my son is being born and i should be in there you know instead of stuck in a closet with you,0.0,0.0,0.0,0.0
182,i'm gonna go find that guy's car and leave a note on the windshield,the woman i love is having a baby today i've been waiting for this just as much as you have,0.1,0.0,0.0,0.0
183,i used to think of you as somebody that would never ever hurt me ever,no no no believe me,0.02706706,0.0,0.0,0.0
184,no i do want to,no one has been waiting for this as much as i have ok,0.15384615,0.0,0.0,0.0
185,y'know what you should do you should get her one of those um barium enemas,and you know what the funny thing is,0.1042155,0.0,0.0,0.0
186,i'm gonna go get him okay i am going back in,when this day is over you get to go home with the baby ok,0.14285714,0.0,0.0,0.0
187,i'm gonna go find that guy's car and leave a note on the windshield,where does that leave me,0.06611956,0.0,0.0,0.0
188,i can't believe you did that,you get to be the baby's father,0.14285714,0.0,0.0,0.0
189,you got,everyone knows who you are,0.2,0.0,0.0,0.0
190,i'm telling you rachel listen to janice they all say they're gonna be there until they start their real family,who am i,0.0,0.0,0.0,0.0
191,i'm a lady monica i don't kiss and tell but this hickey speaks for itself,there's mother's day there's father's day there's no lesbian lover day,0.0,0.0,0.0,0.0
192,oh it's all right,every day is lesbian lover day,0.0,0.0,0.0,0.0
193,oh you're busy that's ok i'll get it anybody else want one,this is so great,0.0,0.0,0.0,0.0
194,i'm not getting into this again,you wanna explain that,0.0,0.0,0.0,0.0
195,iii don't think so,i mean well 'cause when i was growing up you know my dad left and my mother died and my stepfather went to jail so i barely had enough pieces of parents to make one whole one,0.02702703,0.0,0.0,0.0
196,hey y'know what,and here's this little baby who has like three whole parents who care about it so much that they're fighting over who gets to love it the most,0.0,0.0,0.0,0.0
197,look things like last night they don't just happen,and it's not even born yet,0.0,0.0,0.0,0.0
198,i just can't believe you're in here,it's just it's just the luckiest baby in the whole world,0.18181818,0.0,0.0,0.0
199,well they go into the chipper,i'm sorry you were fighting,0.0,0.0,0.0,0.0
200,okay,hi how are you doing kelly,0.0,0.0,0.0,0.0
201,i don't know i mean you were a lot bigger i mean stronger back then,i'm doing just fine god tiffany you smell so great,0.06065307,0.0,0.0,0.0
202,oh my god i do love you how did you do it,it's my new perfume why don't you come closer where you can,0.25,0.0,0.0,0.0
203,y'know who i ran into from school howie,oh y'know joey you are sick,0.11942189,0.0,0.0,0.0
204,i don't know i mean you were a lot bigger i mean stronger back then,this is disgusting,0.0,0.0,0.0,0.0
205,oh,i'm not reading this,0.0,0.0,0.0,0.0
206,oh my god monica,what waitwaitwait the handsome man was about to enter,0.0,0.0,0.0,0.0
207,ah yes but he's very protective of me so you'd better watch yourself,i mean he's got the monocle he's got the top hat,0.07579572,0.0,0.0,0.0
208,y'know what,you know he's gay,0.0,0.0,0.0,0.0
209,oh my god how did you do that,i just wanna clarify this are you outing mr peanut,0.1,0.0,0.0,0.0
210,alright and if you're gonna put your feet up why don't you sit on the,danielle hi uh everybody this is danielle danielle everybody,0.0,0.0,0.0,0.0
211,oh it's easy yeah ii can do it with anything watch uh grandma's chicken salad,hi hi,0.0,0.0,0.0,0.0
212,okay sorry yeah,what are you doing here,0.0,0.0,0.0,0.0
213,i'm not getting into this again,what,0.0,0.0,0.0,0.0
214,oh it was perfect i mean it really felt like he was my friend again,what is it,0.00610521,0.0,0.0,0.0
215,i'm gonna go get him okay i am going back in,that she left you,0.0,0.0,0.0,0.0
216,i can't believe you're gonna ask monica to marry you,that she likes women,0.0,0.0,0.0,0.0
217,i'm not getting into this again,that she left you for another woman that likes women,0.0,0.0,0.0,0.0
218,oh okay,little louder okay i think there's a man on the twelfth floor in a coma that didn't quite hear you,0.05,0.0,0.0,0.0
219,ohoo you should have one of us do it,then what,0.0,0.0,0.0,0.0
220,so,my first time with carol was,0.0,0.0,0.0,0.0
221,why do i have a feeling that's not as happy as it sounds no nooooo,what,0.0,0.0,0.0,0.0
222,okay one thing at a time,it was my,0.0,0.0,0.0,0.0
223,umm he said he thought i was funny,with carol oh,0.0,0.0,0.0,0.0
224,we need a porn break,so in your whole life you've only been with oneoh,0.0,0.0,0.0,0.0
225,well i'm keeping so many things to myself these days something was bound to slip out,whoah boy hockey was a big mistake there was a whole bunch of stuff we could've done tonight,0.05555556,0.0,0.0,0.0
226,okay we are at a rest stop on route okay there is no route okay either or,oh it's already closed chris gave me the keys to lock upwhat is wrong,0.05765127,0.0,0.0,0.0
227,ross y'know if you ever decide you need to redecorateand i think that you should,my marriage i think my marriage is um is kinda over,0.12638981,0.09373319,0.0,0.0
228,i,oh no why,0.0,0.0,0.0,0.0
229,either you're seeing somebody behind my back which would make you the biggest jerk on the planet or you're seeing somebody which would make you the biggest jerk on the planet,cause carol's a lesbian and and i'm not one and apparently it's not a mix and match situation,0.0,0.0,0.0,0.0
230,yeah 'cause otherwise someone might get what they actually ordered,oh my god i don't believe it oh you poor bunny,0.0,0.0,0.0,0.0
231,i'm just kidding too i'm getting married in december,i'm an idiot,0.04511176,0.0,0.0,0.0
232,oh my god ross,i mean shoulda seen it i mean carol and i'd be out and she'd she'd see some beautiful woman and and she'd be ross y'know look at her and i'd think god my wife is cool,0.08333333,0.0,0.0,0.0
233,because the kids need new shoes,aw hey do you think that susan person is her lover,0.0,0.0,0.0,0.0
234,yeah it kinda makes thatthat one night special y'know technically we still,well now i do,0.0,0.0,0.0,0.0
235,i'm going crazy okay do you have any thing around here that looks homemade,i'm sorry,0.00123938,0.0,0.0,0.0
236,no we're not,seven years,0.0,0.0,0.0,0.0
237,well half a brownie,i mean we've been together seven years she's the only woman who's ever loved me and the only woman i'vei've ever,0.0,0.0,0.0,0.0
238,iantelburg you're my hero,aw god ross oh,0.0,0.0,0.0,0.0
239,i don't know i mean you were a lot bigger i mean stronger back then,but you've got one more apology to make all right you've got to apologize to maryangela,0.0,0.0,0.0,0.0
240,it's not hopeless dr stryker ramoray's a miracle worker look here he comes,okay absolutely,0.0,0.0,0.0,0.0
241,i'm sorry i'm so sorry,all right,0.0,0.0,0.0,0.0
242,oh and he's got such a good heart doesn't he have a good heart,you've got it,0.00852051,0.0,0.0,0.0
243,okay,cookie now you can punch him,0.0,0.0,0.0,0.0
244,oh well we don't because we gottheother plplace,what,0.0,0.0,0.0,0.0
245,uhhuh,what i didn't say anything,0.0,0.0,0.0,0.0
246,umm he said he thought i was funny,yeah but this isn't the face of a person who trusts a person,0.0,0.0,0.0,0.0
247,y'know they're not gonna get married anyway,ok this is the face of a person who you know doesn't trust a person,0.0,0.0,0.0,0.0
248,okay goodgood for you,i'm sorry i'm sorry phoebe it's just a little shorter than what we had discussed,0.0,0.0,0.0,0.0
249,oh not bad do you know that feeling when you're trying to blow a saint bernard out your ass,would you relax i know what i am doing this is how he wears it,0.10212378,0.0,0.0,0.0
250,well i'm gonna go get these in some water,what,0.0,0.0,0.0,0.0
251,i'm not getting into this again,jody,0.0,0.0,0.0,0.0
252,all right look i'm not proud of this ok well maybe i am a little,you were with julie,0.0,0.0,0.0,0.0
253,uh well yeah that was the plan but by the time i got to it there was only a couple of pieces left,look when it started i was just trying to be nice to her because she was my brother's girlfriend,0.2131994,0.0,0.0,0.0
254,okay but if he asks i'm not going to lie,and then one thing led to another and before i knew it we wereshopping,0.07142857,0.0,0.0,0.0
255,y'know what i think it is,oh oh my god,0.0,0.0,0.0,0.0
256,i know just quickquick question quick question which one was,honey wait we only did it once it didn't mean anything to me,0.0,0.0,0.0,0.0
257,yeah you want some,yeah right sure,0.23884377,0.0,0.0,0.0
258,i mean you're my favorite guy in the whole world,really rachel i was thinking of you the whole time,0.3,0.18257419,0.0,0.0
259,ii keep hearing all these rumors that i might get fired,look i'm sorry all right,0.06023884,0.0,0.0,0.0
260,no,i never meant for you to find out,0.0,0.0,0.0,0.0
261,you are so bad,oh please you wanted to get caught,0.14285714,0.0,0.0,0.0
262,i mean well he might be a little late butbut he'll be there,that is not true,0.0,0.0,0.0,0.0
263,all right let's go pheebs,oh so you just sort of happened to leave it in here,0.0,0.0,0.0,0.0
264,oh it even has a tree with a broken limb out front and the uh the window in the attic isoh my god,did it ever occur to you that i might just be that stupid,0.0356438,0.0,0.0,0.0
265,i don't know ooh ooh look it ahha,ok monica i just have to know one thing did you go with her to,0.13333333,0.0,0.0,0.0
266,oh my god ross,i can't say,0.0,0.0,0.0,0.0
267,okay but if i got to turn on the charm tomorrow i'm not wasting anymore of it over here with you guys,why,0.0,0.0,0.0,0.0
268,oh me too,why not,0.0,0.0,0.0,0.0
269,i don't know something girlie,i can't say because he's famous,0.16666667,0.0,0.0,0.0
270,ii keep hearing all these rumors that i might get fired,oh my god who is it,0.0,0.0,0.0,0.0
271,i don't know i'm still pretty tired out from this afternoon,phoebe come on you have to tell us,0.0,0.0,0.0,0.0
272,i got no sleep last night,okay okay it's james brolin james brolin is the father of my baby,0.0,0.0,0.0,0.0
273,i know,as in barbara streisand's husband james brolin,0.0,0.0,0.0,0.0
274,you know what else he's unbelievable in bed,what well he never said that to me,0.125,0.0,0.0,0.0
275,well i don't know i think it does something to salami,oh this life oh okay no chandler's is worse,0.0,0.0,0.0,0.0
276,�gio's really gonna miss you guys,man it must be so cool remembering stuff like that i don't have any past life memories,0.0,0.0,0.0,0.0
277,i want him to have his uncle,of course you don't sweetie you're brand new,0.0,0.0,0.0,0.0
278,oh my,i know monica's worst thanksgiving,0.0,0.0,0.0,0.0
279,i know,oh let's not tell this story,0.0,0.0,0.0,0.0
280,y'know she'd say no but here we are,oh come on,0.0,0.0,0.0,0.0
281,i'll tell her come on bugger face,oh no i know i know it's the one where joey got monica's turkey stuck on his head,0.05555556,0.0,0.0,0.0
282,ross thank you hey do you guys wanna go see a movie,what joey got a turkey stuck on his head,0.07961459,0.0,0.0,0.0
283,i mean all week long everywhere i look there's you,hey it's not like it sounds,0.0,0.0,0.0,0.0
284,yeah we got him back everything's fine,it's,0.0,0.0,0.0,0.0
285,why don't we do a trial run,who was that,0.0,0.0,0.0,0.0
286,i know this isn't the kind of thanksgiving that all of you all planned but for me this has been really great you know i think because it didn't involve divorce or projectile vomiting,wendy bailed i have no waitress,0.00156726,0.0,0.0,0.0
287,oh my god you're pregnant,oh that's too bad bye bye,0.16666667,0.0,0.0,0.0
288,okay give me a chance to win my money back okay sudden death one goal,ten dollars an hour,0.0,0.0,0.0,0.0
289,okay now much have you won so far,no,0.0,0.0,0.0,0.0
290,i'm sorry would you move your thumb i can't see the seat number,twelve dollars an hour,0.0,0.0,0.0,0.0
291,uhoh,mon i wish i could but i've made plans to walk around,0.0,0.0,0.0,0.0
292,well he happens to be a very nice guy,you know rachel when you ran out of your wedding i was there for you,0.0,0.0,0.0,0.0
293,oh yeah uh chandler,i put a roof over your head and if that means nothing to you twenty dollars an hour,0.0,0.0,0.0,0.0
294,well you're whippin' so slow can't you do it any faster,done,0.0,0.0,0.0,0.0
295,i don't know i guess the other people just don't care enough,you've got to get out of here save yourself,0.0,0.0,0.0,0.0
296,i mean you'd think he'd be worried about me not showing up at his club,no i won't leave you,0.02706706,0.0,0.0,0.0
297,and i can't stop you,don't worry about me i'm a robot i'm just a machine,0.0,0.0,0.0,0.0
298,well i'm upsetfor you i mean having sex with an endless line of beautiful women must be very unfulfilling for you,no you're not not to me,0.0,0.0,0.0,0.0
