,ref,ans,bleu-1,bleu-2,bleu-3,bleu-4
75,don't say it,my character's catholic and he falls in love with this jewish girl,0.0,0.0,0.0,0.0
76,what,who run away together and they get caught in this big rainstorm,0.0,0.0,0.0,0.0
77,why do you have the answers written on there,so we go into this barn and undress each other and hold each other,0.0,0.0,0.0,0.0
78,but i'll still always come back like this,it's really sweet andand tender,0.0,0.0,0.0,0.0
79,tasty i'm really starting to feel like you guys have a history it'sit's nice,nothing monica and i had a stupid fight,0.05904582,0.0,0.0,0.0
80,who are you,but you're still moving in together right because my ad came out today,0.0,0.0,0.0,0.0
81,no you have been screwing us all day,wanted female roommate nonsmoker nonugly nice,0.0,0.0,0.0,0.0
82,really,yeah,0.0,0.0,0.0,0.0
83,and your horoscope says on the fifth a special someone is going to give you a gift,i just figured y'know after living with you it'd be an interesting change of pace to have a female roommate y'know,0.14285714,0.0,0.0,0.0
84,what,someone i can learn from someonesomeone who's different than me,0.0,0.0,0.0,0.0
85,you're you're really you're so good,and what's more different than me a guy who's,0.0,0.0,0.0,0.0
86,what,this witness won't return my calls so we're gonna see if we can surprise him coming home,0.0,0.0,0.0,0.0
87,wait uh listen,sursurprise him we're not we're not gonna make anybody mad are we,0.0,0.0,0.0,0.0
88,hey it is unreasonable to expect a child to wait for a,come on man listen so uh are you gonna squeeze the perps shoes a little bit before he lawyers up,0.05,0.0,0.0,0.0
89,oh yeah joshua give me a call sometime guys like you never go out of stylewhat did you throw away,it's a witness not a perp and no one talks like that,0.08556952,0.0,0.0,0.0
90,open your drapes open your drapes,hey i'm more cop than you two,0.0,0.0,0.0,0.0
91,i,how do you figure that,0.0,0.0,0.0,0.0
92,okay you're fine,hello i'm in the front seat okay i'm gary's partner,0.1,0.0,0.0,0.0
93,nothing um it's just um it's roger,here you go thank you,0.0,0.0,0.0,0.0
94,umm i think he's still out what's wrong,rachel karen green where's the other earring,0.0,0.0,0.0,0.0
95,thank god,okay okay okay look just don't freak out but i kinda lost it,0.0,0.0,0.0,0.0
96,i'm fine,i know it's in the apartment but i,0.0,0.0,0.0,0.0
97,that i did that i did,well what am i going to tell monica she wants to wear them tonight,0.07142857,0.0,0.0,0.0
98,you can spill in the sink,tell her to wear her own earrings,0.0,0.0,0.0,0.0
99,shut the book,these,0.0,0.0,0.0,0.0
100,here we go,nooo nooooo you lent me monica's earrings i'm not allowed to borrow her stuff,0.0,0.0,0.0,0.0
101,i'm not always that bad,why not,0.11156508,0.0,0.0,0.0
102,well the moment's over,because i lose her stuff,0.0,0.0,0.0,0.0
103,do you always have to bring him here,yeah,0.0,0.0,0.0,0.0
104,okay one thing at a time,what's going on,0.0,0.0,0.0,0.0
105,welldid you know he was gonna ask me,chandler's gone again,0.0,0.0,0.0,0.0
106,look you and i went to different high schools,oh my god why would you play hide and seek with someone you know is a flight risk,0.11111111,0.0,0.0,0.0
107,okay,i already had a baby leave me alone,0.0,0.0,0.0,0.0
108,wow if only more people knew,okay okay come on you can do it you can do it,0.0,0.0,0.0,0.0
109,so anyway um his head is like flopping down broadway right and i'm just thinking how inappropriate this is,yeah,0.0,0.0,0.0,0.0
110,listen you know how uh when you're wearing pants and you lean forward i check out your underwear,little leslie is here,0.0,0.0,0.0,0.0
111,is,we got another one,0.0,0.0,0.0,0.0
112,oh god okay alright alright okay ross please don't hate me,oh my god i can't believe i have twotwo children,0.18096748,0.0,0.0,0.0
113,oh i am,how scary is that,0.0,0.0,0.0,0.0
114,yeah iiii'm funny ben but i'm not stupid okay,come on little chandler it's time to be born come on little chandler come on,0.0,0.0,0.0,0.0
115,yeah i'm just i'm just in town for a conference umm,all right he's coming he's coming,0.0,0.0,0.0,0.0
116,whoa jam i love jam hey how come we never have jam at our place,hey where's his thing,0.01598197,0.0,0.0,0.0
117,then you two can can sneak into the cockpit and things will start to heat up and then a stewardess comes in i've been watching too much porn,chandler's a girl,8.012e-05,0.0,0.0,0.0
118,i'll take a card,oh god kindergarten flashback,0.0,0.0,0.0,0.0
119,i'm not great but i'm a little more than a pretty blond girl with an ass that won't quit,they musta read the sonogram wrong,0.0,0.0,0.0,0.0
120,the celtics,cause they 'cause they thought it was a boy but chandler's a girl,0.0,0.0,0.0,0.0
121,you need me to go down there with you and hold your hand,chandler's a girl,0.0,0.0,0.0,0.0
122,i am not high maintenance,okay keep saying it,0.0,0.0,0.0,0.0
123,okay,am i too late,0.0,0.0,0.0,0.0
124,yeah oh my god,nono ah everything's okay everybody's healthy there's fingers and toes,0.0,0.0,0.0,0.0
125,yes that would have made more sense,we have our babies,0.11809164,0.0,0.0,0.0
126,i'm sorry,yeah,0.0,0.0,0.0,0.0
127,you guys got anything to eat i just went down to johnos for some chicken and it was closed,oh we have our babies,0.0,0.0,0.0,0.0
128,i bet ya ya i could fit in there,hey bobby,0.0,0.0,0.0,0.0
129,seriously dude years ago,it's bob actually hey you work up here can you tell me where this chandler,0.0,0.0,0.0,0.0
130,the sun is out,uhh yeah yeah it's right right down there right there yeah can i ask you why,0.0,0.0,0.0,0.0
131,well umm my mom's friend phoebe is actually my birth mom,i want to talk to that bastard see what his problem is,0.08333333,0.0,0.0,0.0
132,you mean they're lovers,okay bob listen uhh i'm the reason you didn't get the job up here,0.07142857,0.0,0.0,0.0
133,phoebe what ummwhat,toby don't,0.0,0.0,0.0,0.0
134,chandler you call me when this goes in the pooper,bob,0.0,0.0,0.0,0.0
135,okay let's do it again,toby i'm not gonna let you cover for him anything you say right now will just get me more upset with chandler,0.0,0.0,0.0,0.0
136,oh don't listen to him he's just some guy who really wants the apartment but i don't think he's gonna get it,i know i found it on the street,0.06516523,0.0,0.0,0.0
137,nono he's he's very docile,are you seriousreally it's in such good condition,0.0,0.0,0.0,0.0
138,umm i think he's still out what's wrong,yeah,0.0,0.0,0.0,0.0
139,how much do you think i can get for my kidney,wow whoawhoa what's under the covers,0.0,0.0,0.0,0.0
140,oh i uh i went to aruba,i don't know,0.08786571,0.0,0.0,0.0
141,and here we have the last of paulo's grappa,it's stillit's got a tail get it out of here get it out of here,0.13333333,0.0,0.0,0.0
142,i think i need a drink,ooh ah okay,0.0,0.0,0.0,0.0
143,bad things happen to me anyway,we talked through most of the night and we realized that the reason we were so angry at each other was because there are still feelings there so,0.0,0.0,0.0,0.0
144,and then you said why do they call it a check,oh just say it kyle,0.06023884,0.0,0.0,0.0
145,oh well give it time,we're gonna give it another try,0.33333333,0.25819889,0.0,0.0
146,stupid closet full of bugs,what about her whining and her constant need for attention,0.0,0.0,0.0,0.0
147,i'm sorry i think that you just misunderstood her,i'm gonna work on that,0.17973159,0.0,0.0,0.0
148,that is the rule,oh right because you're so capable of change,0.0,0.0,0.0,0.0
149,coffee sounds great wait so so you live in montreal,y'know he hums when he pees,0.0,0.0,0.0,0.0
150,not,i do know,0.0,0.0,0.0,0.0
151,don't yell at me okay this is the most i've seen you all week,it makes him miss the bowl but whatever,0.05904582,0.0,0.0,0.0
152,you don't seem to understand see i was dr drake remoray,we're so sorry,0.0,0.0,0.0,0.0
153,wow you guys really don't know anything,that's all right wewe don't need you in fact hey i'm over it already,0.14285714,0.0,0.0,0.0
154,and then after that i'm gonna get so drunk i'm gonna wanna call janice,yeah and y'know what i don't give a tiny rat's ass,0.06920913,0.0,0.0,0.0
155,i'm afraid i can't let you do that joe,yeah we're gonna go,0.0,0.0,0.0,0.0
156,whatEngels,i'm sorry ugh pheebs you were you were right about her y'know she,0.0,0.0,0.0,0.0
157,god and now i just can't stop picturing with her i can't it doesn't matter what you say or what you do ross,oh y'know he hums while he does other stuff to,0.0,0.0,0.0,0.0
158,ooh looklooklooklooklooklooklook i got monica naked,yeah we're better off without them,0.0,0.0,0.0,0.0
159,and as my wife i think you should grant me this favor,and y'know even if they break up again you'd better not let him in your sad men's club,0.05555556,0.0,0.0,0.0
160,no rachel doesn't want me to,divorced men's club,0.0,0.0,0.0,0.0
161,i have a question about this scene,maybe because you've got the keys,0.0,0.0,0.0,0.0
162,okay,this is totally your fault,0.0,0.0,0.0,0.0
163,yeah no i'm fairly intuitive and psychic it's a substantial gift,my fault you threatened the judge,0.0,0.0,0.0,0.0
164,yeah i don't think so joe,well you ripped the paper out of the court reporter's machine,0.0,0.0,0.0,0.0
165,oh my god,yeah,0.0,0.0,0.0,0.0
166,that's it,have you seen chandler,0.0,0.0,0.0,0.0
167,what,no why,0.0,0.0,0.0,0.0
168,it's just 'cause i couldn't be there,the woman from the museum called and said that there was a cancellation and that we could move up our wedding and chandler heard,0.04166667,0.0,0.0,0.0
169,can i help you,i know,0.18393972,0.0,0.0,0.0
170,you're welcome,how bad is this,0.0,0.0,0.0,0.0
171,well fine,well for the regular guy it's bad but chandler oh dear god,0.08333333,0.0,0.0,0.0
172,actually i do have one small complaint,i know i know and he totally freaked out and i can't find him anywhere,0.06666667,0.0,0.0,0.0
173,why won't i be married when i'm,what are you gonna do,0.0,0.0,0.0,0.0
174,you owe me bucks,well i'm never gonna listen to you again that's for sure,0.09090909,0.0,0.0,0.0
175,and you can see me,y'know harm can it do if you go and put your name down,0.23076923,0.0,0.0,0.0
176,hmm,rachel said that,0.0,0.0,0.0,0.0
177,whatwhat,well rachel's not here,0.0,0.0,0.0,0.0
178,with a chickchick here and a chickchick there,damnit damnit damnit damnit,0.0,0.0,0.0,0.0
179,thank you,this is all your fault,0.0,0.0,0.0,0.0
180,okay umm i'm gonna get my sweater,this is supposed to be like the greatest day of my life y'know,0.07692308,0.0,0.0,0.0
181,and thethe calming sounds of the babbling brook,my son is being born and i should be in there you know instead of stuck in a closet with you,0.0952381,0.0,0.0,0.0
182,but what about phoebe,the woman i love is having a baby today i've been waiting for this just as much as you have,0.0,0.0,0.0,0.0
183,like the guy on the other side of you was smelly von brownshirt,no no no believe me,0.0,0.0,0.0,0.0
184,it's uh it's a song,no one has been waiting for this as much as i have ok,0.0,0.0,0.0,0.0
185,yeah well you never have the time i mean i don't feel like i even have a girlfriend anymore rachel,and you know what the funny thing is,0.05578254,0.0,0.0,0.0
186,how can i help you,when this day is over you get to go home with the baby ok,0.07142857,0.0,0.0,0.0
187,ii keep hearing all these rumors that i might get fired,where does that leave me,0.06023884,0.0,0.0,0.0
188,no,you get to be the baby's father,0.0,0.0,0.0,0.0
189,and instead my parents got me this little plastic chicken that you hop around on,everyone knows who you are,0.02706706,0.0,0.0,0.0
190,aww look at the little thing,who am i,0.0,0.0,0.0,0.0
191,yeah but after you said it was okay i figured why not,there's mother's day there's father's day there's no lesbian lover day,0.0,0.0,0.0,0.0
192,a four and a nine,every day is lesbian lover day,0.0,0.0,0.0,0.0
193,does that mean the same thing in england as it does in america,this is so great,0.0,0.0,0.0,0.0
194,well i brought the next best thing,you wanna explain that,0.0,0.0,0.0,0.0
195,just so you know we're not seeing him tomorrow,i mean well 'cause when i was growing up you know my dad left and my mother died and my stepfather went to jail so i barely had enough pieces of parents to make one whole one,0.08108108,0.0474579,0.0,0.0
196,and then and then you turn to me and say nah let's just hang out at your place well that was a nice move dumb ass,and here's this little baby who has like three whole parents who care about it so much that they're fighting over who gets to love it the most,0.10714286,0.0,0.0,0.0
197,you mean they're lovers,and it's not even born yet,0.0,0.0,0.0,0.0
198,i guess you wouldn't believe me if i said i was kurt douglas huh,it's just it's just the luckiest baby in the whole world,0.0,0.0,0.0,0.0
199,thanks but i want to remove it pheebs i don't want to make it savory,i'm sorry you were fighting,0.0,0.0,0.0,0.0
200,no no thatthat that's all right umm i'm just glad you called,hi how are you doing kelly,0.06131324,0.0,0.0,0.0
201,she's in labor you like that you sick son of a bitch,i'm doing just fine god tiffany you smell so great,0.08187308,0.0,0.0,0.0
202,that i was not expecting,it's my new perfume why don't you come closer where you can,0.0,0.0,0.0,0.0
203,because i'm monica geller it was my credit card you were using,oh y'know joey you are sick,0.06131324,0.0,0.0,0.0
204,hi this is heldi from the morgan chase museum i'm calling for monica geller,this is disgusting,0.01704102,0.01475796,0.0,0.0
205,nothing,i'm not reading this,0.0,0.0,0.0,0.0
206,maybe it wasn't bob maybe it was a mouse,what waitwaitwait the handsome man was about to enter,0.11111111,0.0,0.0,0.0
207,i can't believe we have to stop seeing each other,i mean he's got the monocle he's got the top hat,0.09090909,0.0,0.0,0.0
208,yes shame about you man,you know he's gay,0.1947002,0.0,0.0,0.0
209,nooo i had a story all worked out but then chandler sold me out,i just wanna clarify this are you outing mr peanut,0.067032,0.0,0.0,0.0
210,i think i can take care of myself i'll talk to you later,danielle hi uh everybody this is danielle danielle everybody,0.0,0.0,0.0,0.0
211,and thethe calming sounds of the babbling brook,hi hi,0.0,0.0,0.0,0.0
212,hi,what are you doing here,0.0,0.0,0.0,0.0
213,well it's a pretty big commitment i mean what if one of us wants to move out,what,1.1e-07,0.0,0.0,0.0
214,i'm sending back all this stuff that chandler bought out of guilt,what is it,0.0,0.0,0.0,0.0
215,well she's out of town so there's gotta be something in her house that tells me where my father is,that she left you,0.00457891,0.0,0.0,0.0
216,yeah they're not so bad,that she likes women,0.0,0.0,0.0,0.0
217,that's that's great,that she left you for another woman that likes women,0.0,0.0,0.0,0.0
218,ehh,little louder okay i think there's a man on the twelfth floor in a coma that didn't quite hear you,0.0,0.0,0.0,0.0
219,you told me,then what,0.0,0.0,0.0,0.0
220,ow ow,my first time with carol was,0.0,0.0,0.0,0.0
221,we don't care about where we stay,what,0.0,0.0,0.0,0.0
222,the was a beautiful woman,it was my,0.17113904,0.0,0.0,0.0
223,oh now daddy stay calm please,with carol oh,0.12262648,0.0,0.0,0.0
224,these got left for ya,so in your whole life you've only been with oneoh,0.0,0.0,0.0,0.0
225,yes,whoah boy hockey was a big mistake there was a whole bunch of stuff we could've done tonight,0.0,0.0,0.0,0.0
226,hi,oh it's already closed chris gave me the keys to lock upwhat is wrong,0.0,0.0,0.0,0.0
227,it's so annoying,my marriage i think my marriage is um is kinda over,0.0,0.0,0.0,0.0
228,so if i said yes he would know i had nothing better to do than wait around for an invitation to his stupid party,oh no why,0.0,0.0,0.0,0.0
229,all right i'll see you in the morning,cause carol's a lesbian and and i'm not one and apparently it's not a mix and match situation,0.0,0.0,0.0,0.0
230,okay i know hold on hey ross,oh my god i don't believe it oh you poor bunny,0.09090909,0.0,0.0,0.0
231,all i had to do was pay and wait in line for three hours,i'm an idiot,0.0,0.0,0.0,0.0
232,thanks,i mean shoulda seen it i mean carol and i'd be out and she'd she'd see some beautiful woman and and she'd be ross y'know look at her and i'd think god my wife is cool,0.0,0.0,0.0,0.0
233,what's the other one,aw hey do you think that susan person is her lover,0.0,0.0,0.0,0.0
234,we're never gonna find anybody,well now i do,0.0,0.0,0.0,0.0
235,oh yeah,i'm sorry,0.0,0.0,0.0,0.0
236,what are you doing,seven years,0.0,0.0,0.0,0.0
237,and kristin kristindoes something that funnily enough wasn't even her major,i mean we've been together seven years she's the only woman who's ever loved me and the only woman i'vei've ever,0.04761905,0.0,0.0,0.0
238,y'know when i'm with her i am so much more than that,aw god ross oh,0.0,0.0,0.0,0.0
239,yeah,but you've got one more apology to make all right you've got to apologize to maryangela,0.0,0.0,0.0,0.0
240,no no no no,okay absolutely,0.0,0.0,0.0,0.0
241,secret married people aren't supposed to have secrets between one another we have too much love and respect for one another,all right,0.0,0.0,0.0,0.0
242,y'know those are a delicacy in india,you've got it,0.0,0.0,0.0,0.0
243,no,cookie now you can punch him,0.0,0.0,0.0,0.0
244,nah notnot special enough,what,0.0,0.0,0.0,0.0
245,relax you're only at nine centimeters and the baby's at zero station,what i didn't say anything,0.0,0.0,0.0,0.0
246,really,yeah but this isn't the face of a person who trusts a person,0.0,0.0,0.0,0.0
247,you mean theokay by siadic you mean the towel covered portion,ok this is the face of a person who you know doesn't trust a person,0.13333333,0.0,0.0,0.0
248,oh,i'm sorry i'm sorry phoebe it's just a little shorter than what we had discussed,0.0,0.0,0.0,0.0
249,well i'm off to bed,would you relax i know what i am doing this is how he wears it,0.0,0.0,0.0,0.0
250,hey do you thinkwould it be too weird if i invited carol over to join us,what,0.0,0.0,0.0,0.0
251,this is a garden view room and we paid for an ocean view room,jody,0.0,0.0,0.0,0.0
252,whoa that,you were with julie,0.0,0.0,0.0,0.0
253,what do you think,look when it started i was just trying to be nice to her because she was my brother's girlfriend,0.0,0.0,0.0,0.0
254,you mean theokay by siadic you mean the towel covered portion,and then one thing led to another and before i knew it we wereshopping,0.0,0.0,0.0,0.0
255,ooh,oh oh my god,0.0,0.0,0.0,0.0
256,what,honey wait we only did it once it didn't mean anything to me,0.0,0.0,0.0,0.0
257,oh my god i'm your,yeah right sure,0.0,0.0,0.0,0.0
258,that let's talk about that,really rachel i was thinking of you the whole time,0.0,0.0,0.0,0.0
259,toby oh for god's sake i don't know what she's talking about,look i'm sorry all right,0.0,0.0,0.0,0.0
260,wow you guys really don't know anything,i never meant for you to find out,0.125,0.0,0.0,0.0
261,y'know what actually okay okay okay what's so funny over here,oh please you wanted to get caught,0.0,0.0,0.0,0.0
262,stop it,that is not true,0.0,0.0,0.0,0.0
263,why am i not surprised,oh so you just sort of happened to leave it in here,0.0,0.0,0.0,0.0
264,oh that's all right i'm coming back later with your father,did it ever occur to you that i might just be that stupid,0.0,0.0,0.0,0.0
265,and i'm very sorry but i don't know where your father is and that's the truth,ok monica i just have to know one thing did you go with her to,0.12473426,0.0,0.0,0.0
266,i mean naked game strip poker we should totally play strip poker,i can't say,0.01659569,0.0,0.0,0.0
267,i'm just gonna go flush myself down the toilet now,why,0.0,0.0,0.0,0.0
268,nothing,why not,0.0,0.0,0.0,0.0
269,well that's because uhi stayed in my room yeah you don't want to look in my hamper,i can't say because he's famous,0.02664662,0.0,0.0,0.0
270,why,oh my god who is it,0.0,0.0,0.0,0.0
271,i know i know but can we please try it again huh i mean you were,phoebe come on you have to tell us,0.04598493,0.0,0.0,0.0
272,um absolutely uh how 'bout tomorrow afternoon do you know uh central perk in the village say fiveish,okay okay it's james brolin james brolin is the father of my baby,0.05236249,0.0,0.0,0.0
273,i'll be fun,as in barbara streisand's husband james brolin,0.0,0.0,0.0,0.0
274,yeah that's the same,what well he never said that to me,0.0,0.0,0.0,0.0
275,yeah,oh this life oh okay no chandler's is worse,0.0,0.0,0.0,0.0
276,what am i going to do,man it must be so cool remembering stuff like that i don't have any past life memories,0.05882353,0.0,0.0,0.0
277,that's a good idea dear janice have a hubbabubba birthday' i would like to get her something serious,of course you don't sweetie you're brand new,0.0,0.0,0.0,0.0
278,phoebe,i know monica's worst thanksgiving,0.0,0.0,0.0,0.0
279,wow my brother never even told me when he lost his virginity,oh let's not tell this story,0.0,0.0,0.0,0.0
280,no no i'm serious we should tell each other,oh come on,0.0,0.0,0.0,0.0
281,what are you doing,oh no i know i know it's the one where joey got monica's turkey stuck on his head,0.0,0.0,0.0,0.0
282,yeah what's up with that girl monica,what joey got a turkey stuck on his head,0.0,0.0,0.0,0.0
283,all right i can't sit here anymore i have to walk places,hey it's not like it sounds,0.0,0.0,0.0,0.0
284,yeah,it's,0.0,0.0,0.0,0.0
285,oh some idiot customer put a suggestion in the suggestion box,who was that,0.0,0.0,0.0,0.0
286,because because ititit's it'd be like you having this guitar andand never playing it okay this guitar,wendy bailed i have no waitress,0.0,0.0,0.0,0.0
287,dude what am i gonna,oh that's too bad bye bye,0.0,0.0,0.0,0.0
288,lint,ten dollars an hour,0.0,0.0,0.0,0.0
289,it's just 'cause i couldn't be there,no,0.0,0.0,0.0,0.0
290,how's the maniac,twelve dollars an hour,0.0,0.0,0.0,0.0
291,yeah actually that's my roommate's,mon i wish i could but i've made plans to walk around,0.0,0.0,0.0,0.0
292,i do i do i do i do ugh like i can really chase you i'm carrying a litter,you know rachel when you ran out of your wedding i was there for you,0.10212378,0.0,0.0,0.0
293,no you don't,i put a roof over your head and if that means nothing to you twenty dollars an hour,0.05555556,0.0,0.0,0.0
294,that's it,done,0.0,0.0,0.0,0.0
295,no no you're not a loser,you've got to get out of here save yourself,0.0,0.0,0.0,0.0
296,yeah well he's not gonna get this one,no i won't leave you,0.0,0.0,0.0,0.0
297,i can get out joey i have too but then i lose my nerve and i always finish with go to the bathroom,don't worry about me i'm a robot i'm just a machine,0.0,0.0,0.0,0.0
298,who,no you're not not to me,0.0,0.0,0.0,0.0
299,because then you don't have to,oh my god,0.0,0.0,0.0,0.0
300,i'm like those women that you see with shiny guys named chad,what,0.0,0.0,0.0,0.0
301,i mean naked game strip poker we should totally play strip poker,i am,0.00336897,0.0,0.0,0.0
302,i think you're better than you think you are,yeah you're great okay let's take it from,0.11031211,0.0,0.0,0.0
303,lose the robe,no i mean i was really acting my ass off,0.0,0.0,0.0,0.0
304,there is going to be a wedding you are going to throw the bouquet and,yeah i thought i was pretty good too,0.0,0.0,0.0,0.0
305,well either that or uh,oh yeah you're solid yeah you're just no me,0.0,0.0,0.0,0.0
306,oh well i guess i had that one coming,y'know what i think that's enough for now yeah i don't want to be over rehearsed,0.125,0.0,0.0,0.0
307,you mean they're lovers,fine,0.0,0.0,0.0,0.0
308,what all righthey don't look at me you're the one who wanted to come up and look for some stupid,i'll do it without you,0.0,0.0,0.0,0.0
